department,quarter,no_of_workers,defects_day,Total_Produced
Sweatshirt,Quarter2,71.4,1.6,352.2
Gloves,Quarter4,64.3,2.0,576.7
Sweatshirt,Quarter2,85.6,8.6,333.8
Gloves,Quarter1,27.0,2.9,207.3
Gloves,Quarter1,80.2,7.8,706.2
Gloves,Quarter1,70.5,8.1,610.2
Sweatshirt,Quarter4,78.5,4.4,457.8
Sweatshirt,Quarter1,30.6,2.2,209.8
Gloves,Quarter4,81.7,7.9,719.5
Sweatshirt,Quarter3,67.6,2.1,264.1
Gloves,Quarter2,64.9,8.2,494.6
Sweatshirt,Quarter4,42.4,4.5,165.1
Gloves,Quarter3,96.2,7.5,747.1
Sweatshirt,Quarter2,64.2,0.1,256.6
T-Shirt,Quarter3,82.3,0.2,658.0
Sweatshirt,Quarter1,83.0,0.4,496.8
Gloves,Quarter2,12.3,1.5,130.8
Sweatshirt,Quarter2,28.4,3.1,138.9
Sweatshirt,Quarter3,58.2,4.1,403.3
Gloves,Quarter1,39.8,7.9,342.4
Sweatshirt,Quarter4,28.3,5.0,164.8
T-Shirt,Quarter3,10.3,0.9,60.9
Gloves,Quarter1,67.7,5.8,530.0
Gloves,Quarter2,38.5,5.1,413.3
T-Shirt,Quarter4,57.5,2.2,510.9
T-Shirt,Quarter4,90.7,5.8,708.2
Gloves,Quarter4,51.0,9.7,490.6
Sweatshirt,Quarter2,81.7,8.6,546.1
Sweatshirt,Quarter4,42.4,9.2,226.8
T-Shirt,Quarter3,23.8,0.6,164.8
T-Shirt,Quarter3,78.6,0.1,471.3
Gloves,Quarter4,37.4,8.4,274.0
Sweatshirt,Quarter3,18.5,3.0,120.5
Sweatshirt,Quarter3,36.6,4.2,178.8
Sweatshirt,Quarter1,83.3,4.6,407.3
T-Shirt,Quarter3,16.0,6.3,99.4
Sweatshirt,Quarter4,78.8,4.7,310.5
T-Shirt,Quarter2,41.1,0.4,286.9
Sweatshirt,Quarter4,56.9,1.1,338.1
Gloves,Quarter3,37.9,6.2,404.5
Sweatshirt,Quarter1,52.0,7.6,192.8
Gloves,Quarter3,70.7,5.9,701.1
T-Shirt,Quarter2,53.5,9.5,472.0
Gloves,Quarter3,27.0,6.6,283.8
T-Shirt,Quarter1,32.1,1.5,287.4
Sweatshirt,Quarter4,89.1,2.0,352.4
Sweatshirt,Quarter3,21.9,0.7,108.1
T-Shirt,Quarter4,60.7,7.8,530.7
Gloves,Quarter4,23.7,5.0,232.0
T-Shirt,Quarter4,65.5,0.7,392.3
Gloves,Quarter1,49.2,6.2,381.2
Sweatshirt,Quarter2,51.0,9.8,184.4
Sweatshirt,Quarter3,24.5,0.5,97.5
T-Shirt,Quarter1,19.0,5.3,98.1
Gloves,Quarter2,88.8,9.4,771.0
Sweatshirt,Quarter2,25.2,6.3,170.1
Gloves,Quarter1,17.0,3.4,180.2
Sweatshirt,Quarter3,93.1,9.6,622.9
Gloves,Quarter3,92.6,2.2,826.8
Sweatshirt,Quarter4,39.6,4.3,145.5
Sweatshirt,Quarter1,80.6,2.4,395.8
Gloves,Quarter3,38.4,9.5,365.0
T-Shirt,Quarter2,11.5,4.5,67.0
Gloves,Quarter4,25.0,9.2,256.6
Sweatshirt,Quarter4,14.3,8.0,61.8
Sweatshirt,Quarter3,83.0,7.5,324.5
Sweatshirt,Quarter1,46.9,8.3,179.3
Sweatshirt,Quarter4,53.7,9.0,250.5
Gloves,Quarter4,48.3,4.7,473.6
Gloves,Quarter2,42.5,2.1,418.7
T-Shirt,Quarter3,59.4,8.8,338.8
Sweatshirt,Quarter3,49.3,1.4,293.0
T-Shirt,Quarter2,18.3,6.9,121.2
T-Shirt,Quarter2,99.4,6.7,576.3
Gloves,Quarter2,59.6,1.0,594.0
Gloves,Quarter3,34.7,4.7,342.3
Sweatshirt,Quarter4,59.9,4.8,225.2
Gloves,Quarter4,24.4,3.6,184.4
Gloves,Quarter3,84.1,4.5,747.9
Gloves,Quarter2,58.5,7.6,620.7
Gloves,Quarter4,49.1,5.6,474.2
Sweatshirt,Quarter3,10.4,4.5,28.1
Sweatshirt,Quarter3,17.2,5.0,53.8
T-Shirt,Quarter4,28.6,9.2,153.2
Gloves,Quarter2,77.5,5.7,763.6
T-Shirt,Quarter1,14.1,7.6,91.1
Gloves,Quarter1,78.1,3.1,849.8
T-Shirt,Quarter2,25.1,5.9,158.0
T-Shirt,Quarter4,65.2,2.7,451.0
T-Shirt,Quarter3,15.9,9.6,82.5
Gloves,Quarter2,95.8,9.3,939.4
Sweatshirt,Quarter4,56.4,7.6,387.2
T-Shirt,Quarter1,88.9,5.8,604.9
Sweatshirt,Quarter1,15.5,7.8,85.1
Gloves,Quarter1,67.1,1.4,601.1
T-Shirt,Quarter1,57.8,9.8,394.8
Gloves,Quarter2,20.5,9.0,178.0
Gloves,Quarter2,91.4,6.7,907.3
Gloves,Quarter1,41.7,2.3,326.7
Gloves,Quarter2,76.0,2.4,605.6
Sweatshirt,Quarter2,70.8,6.8,276.4
T-Shirt,Quarter3,62.5,4.3,366.4
Sweatshirt,Quarter4,67.8,5.3,396.2
T-Shirt,Quarter3,78.6,9.3,619.5
Gloves,Quarter2,28.3,5.0,301.3
Gloves,Quarter2,55.9,5.2,492.7
Sweatshirt,Quarter1,43.6,8.2,149.8
T-Shirt,Quarter2,95.0,8.4,829.8
T-Shirt,Quarter1,67.8,4.4,402.4
T-Shirt,Quarter4,90.5,9.6,514.2
T-Shirt,Quarter1,30.3,0.1,181.6
Sweatshirt,Quarter1,52.6,8.9,192.6
T-Shirt,Quarter1,48.7,7.8,276.6
T-Shirt,Quarter1,23.6,7.5,166.3
Sweatshirt,Quarter1,66.4,3.4,328.6
T-Shirt,Quarter2,10.3,3.9,64.3
T-Shirt,Quarter2,22.5,1.3,176.1
Gloves,Quarter2,44.6,9.9,480.7
T-Shirt,Quarter4,52.8,6.8,303.2
T-Shirt,Quarter3,55.0,1.0,383.0
T-Shirt,Quarter2,46.0,6.4,302.8
T-Shirt,Quarter2,85.0,0.6,593.2
Gloves,Quarter3,15.8,1.0,124.4
Gloves,Quarter2,89.7,9.9,697.8
Gloves,Quarter4,62.0,0.4,681.2
Gloves,Quarter4,46.9,6.4,449.8
Gloves,Quarter4,57.4,1.2,627.8
Sweatshirt,Quarter1,22.4,5.4,78.8
Sweatshirt,Quarter4,56.8,8.2,275.8
Gloves,Quarter1,42.2,2.8,334.8
Gloves,Quarter3,58.6,0.6,467.0
Sweatshirt,Quarter4,88.5,9.0,424.5
T-Shirt,Quarter1,38.3,2.2,265.9
Sweatshirt,Quarter2,83.3,4.9,401.8
Gloves,Quarter4,82.2,3.9,810.3
T-Shirt,Quarter4,87.2,1.1,694.3
Sweatshirt,Quarter4,42.5,7.0,163.0
Gloves,Quarter3,92.5,1.1,923.9
T-Shirt,Quarter1,61.5,3.6,423.3
Sweatshirt,Quarter1,60.4,9.8,352.6
Sweatshirt,Quarter2,23.9,9.3,110.2
T-Shirt,Quarter4,22.6,0.4,157.4
Sweatshirt,Quarter3,23.1,8.3,122.0
Gloves,Quarter2,11.0,5.7,76.6
Sweatshirt,Quarter4,87.6,5.8,432.2
T-Shirt,Quarter2,73.7,7.0,656.3
Gloves,Quarter3,22.4,4.7,165.1
Gloves,Quarter1,20.3,6.2,164.1
Gloves,Quarter3,93.5,6.8,1021.7
Gloves,Quarter2,91.9,8.1,710.9
Gloves,Quarter1,89.3,9.1,964.1
Sweatshirt,Quarter3,32.4,6.1,214.6
Sweatshirt,Quarter4,92.4,10.0,442.0
T-Shirt,Quarter1,15.6,7.6,102.0
Gloves,Quarter4,88.5,2.2,882.8
Gloves,Quarter3,92.9,4.7,738.5
T-Shirt,Quarter4,14.5,6.8,95.6
Sweatshirt,Quarter1,52.7,9.9,359.0
Gloves,Quarter3,56.3,1.5,448.9
T-Shirt,Quarter1,11.5,7.1,89.3
T-Shirt,Quarter3,15.3,7.7,84.0
Gloves,Quarter2,82.7,6.5,655.1
Gloves,Quarter2,53.8,1.1,429.3
Sweatshirt,Quarter4,43.7,8.6,201.3
T-Shirt,Quarter3,10.2,4.4,62.6
Gloves,Quarter1,55.6,0.3,500.1
T-Shirt,Quarter3,59.5,2.6,532.9
Gloves,Quarter4,86.5,7.4,929.3
T-Shirt,Quarter1,12.0,4.6,82.2
T-Shirt,Quarter2,63.5,6.7,360.9
Sweatshirt,Quarter4,72.9,4.2,279.0
T-Shirt,Quarter1,19.9,9.6,140.0
Sweatshirt,Quarter4,78.0,5.0,458.0
Gloves,Quarter1,71.6,5.0,557.8
Sweatshirt,Quarter2,81.3,4.6,478.6
T-Shirt,Quarter3,86.9,4.1,509.1
Gloves,Quarter1,13.8,9.4,142.4
T-Shirt,Quarter3,97.0,7.4,671.6
Sweatshirt,Quarter2,20.3,1.0,98.5
Gloves,Quarter2,84.6,5.0,666.8
T-Shirt,Quarter2,93.8,8.3,827.6
Sweatshirt,Quarter2,20.9,2.7,99.1
Sweatshirt,Quarter2,17.7,9.4,87.4
Sweatshirt,Quarter3,30.4,2.7,179.7
Sweatshirt,Quarter4,18.9,5.8,126.5
Sweatshirt,Quarter2,86.7,9.1,588.7
Sweatshirt,Quarter1,11.4,5.3,29.7
Sweatshirt,Quarter2,65.1,3.5,315.0
Gloves,Quarter4,46.4,5.3,401.7
Sweatshirt,Quarter4,87.9,3.5,348.1
Sweatshirt,Quarter1,51.9,0.8,310.6
T-Shirt,Quarter1,56.5,8.5,491.5
Gloves,Quarter1,62.4,7.8,546.0
Gloves,Quarter4,96.1,9.3,750.2
T-Shirt,Quarter1,67.8,6.1,400.7
Gloves,Quarter3,39.9,2.2,314.8
Sweatshirt,Quarter3,52.6,3.7,199.3
Sweatshirt,Quarter2,89.8,1.4,627.2
T-Shirt,Quarter3,33.3,7.7,217.7
Sweatshirt,Quarter4,61.7,7.2,417.5
Sweatshirt,Quarter2,24.7,7.1,84.6
T-Shirt,Quarter2,92.3,6.2,633.7
Gloves,Quarter3,75.7,7.5,598.1
Sweatshirt,Quarter2,58.5,3.4,406.1
Sweatshirt,Quarter4,81.5,7.0,312.0
T-Shirt,Quarter1,32.7,3.3,186.3
T-Shirt,Quarter2,31.5,1.8,185.4
Gloves,Quarter4,76.4,5.8,670.2
T-Shirt,Quarter3,37.9,7.0,213.4
Sweatshirt,Quarter4,82.4,3.0,403.0
Sweatshirt,Quarter3,62.3,6.9,415.4
Sweatshirt,Quarter3,46.4,9.1,260.2
Gloves,Quarter4,42.8,0.0,342.4
T-Shirt,Quarter2,41.7,0.9,332.7
T-Shirt,Quarter3,22.7,8.8,141.3
Gloves,Quarter4,92.6,3.8,829.6
Gloves,Quarter3,25.4,4.2,194.8
Gloves,Quarter1,26.8,4.1,202.1
Sweatshirt,Quarter2,51.7,7.1,347.7
Sweatshirt,Quarter1,12.3,3.2,82.9
Sweatshirt,Quarter1,47.8,3.1,283.7
T-Shirt,Quarter1,85.3,1.2,678.8
Sweatshirt,Quarter4,85.5,0.6,426.3
Gloves,Quarter2,48.1,8.1,456.7
Gloves,Quarter1,33.1,7.0,310.0
T-Shirt,Quarter3,71.2,6.3,420.9
Sweatshirt,Quarter1,26.7,3.0,127.5
T-Shirt,Quarter1,54.3,8.0,301.8
Gloves,Quarter4,69.3,0.9,552.6
T-Shirt,Quarter1,25.4,6.1,191.0
T-Shirt,Quarter3,70.9,9.8,628.3
Sweatshirt,Quarter3,52.7,5.8,205.0
T-Shirt,Quarter1,27.4,9.6,227.4
T-Shirt,Quarter1,29.4,5.0,230.2
Sweatshirt,Quarter4,94.1,9.5,451.5
T-Shirt,Quarter4,41.8,7.9,242.9
Sweatshirt,Quarter1,28.4,2.5,167.9
T-Shirt,Quarter2,18.3,0.8,163.9
Gloves,Quarter1,20.9,8.3,150.6
Gloves,Quarter4,52.1,2.7,414.1
Gloves,Quarter4,50.8,7.3,486.1
Sweatshirt,Quarter4,87.0,3.7,423.9
Gloves,Quarter2,92.8,2.5,923.0
Gloves,Quarter1,26.1,7.2,239.4
Sweatshirt,Quarter3,79.5,8.8,300.4
T-Shirt,Quarter4,100.0,9.2,690.8
Gloves,Quarter2,69.9,5.2,618.7
Gloves,Quarter4,83.2,6.7,895.1
Gloves,Quarter2,62.8,0.6,501.2
Sweatshirt,Quarter3,57.9,2.7,402.6
Sweatshirt,Quarter3,51.7,3.2,352.3
Sweatshirt,Quarter3,32.2,0.5,191.7
Gloves,Quarter4,43.0,7.5,465.5
Gloves,Quarter4,12.5,1.2,133.9
Sweatshirt,Quarter2,69.4,0.3,484.9
T-Shirt,Quarter1,70.8,1.0,422.8
Sweatshirt,Quarter4,59.0,4.1,282.7
Sweatshirt,Quarter3,45.3,6.3,168.6
T-Shirt,Quarter4,78.2,5.0,610.6
Sweatshirt,Quarter4,11.8,3.8,47.6
Gloves,Quarter2,99.8,0.3,797.8
T-Shirt,Quarter3,51.2,3.9,405.7
Gloves,Quarter1,91.2,6.3,814.5
T-Shirt,Quarter4,97.8,1.9,584.9
Sweatshirt,Quarter4,25.2,5.6,84.0
T-Shirt,Quarter1,34.7,6.2,230.5
T-Shirt,Quarter2,49.8,7.0,377.4
Sweatshirt,Quarter2,73.1,2.2,432.0
Sweatshirt,Quarter4,56.0,3.7,324.9
T-Shirt,Quarter3,80.1,3.8,556.9
Sweatshirt,Quarter4,56.7,3.6,223.2
Gloves,Quarter3,58.8,3.0,467.4
Gloves,Quarter4,48.4,8.8,378.4
Gloves,Quarter2,46.4,4.3,506.1
Gloves,Quarter3,89.2,1.1,888.7
Sweatshirt,Quarter1,20.0,4.1,127.7
Sweatshirt,Quarter2,84.1,2.6,586.1
Sweatshirt,Quarter4,24.6,3.6,165.0
Sweatshirt,Quarter1,66.6,5.9,260.5
Sweatshirt,Quarter2,38.6,0.0,154.4
T-Shirt,Quarter2,40.8,0.9,324.6
T-Shirt,Quarter4,62.6,1.5,496.3
Sweatshirt,Quarter4,10.1,5.7,59.3
Gloves,Quarter1,74.0,5.6,802.8
Sweatshirt,Quarter1,87.2,9.3,408.1
T-Shirt,Quarter1,43.2,6.3,296.1
T-Shirt,Quarter2,63.3,8.5,480.9
Sweatshirt,Quarter1,18.2,9.2,54.4
Gloves,Quarter3,33.8,7.7,314.9
T-Shirt,Quarter1,56.7,2.6,337.6
Sweatshirt,Quarter1,58.7,5.3,405.6
Gloves,Quarter2,57.1,0.5,512.9
T-Shirt,Quarter4,24.2,7.8,129.6
Sweatshirt,Quarter2,38.3,7.6,252.9
Sweatshirt,Quarter3,76.1,7.5,296.9
Sweatshirt,Quarter1,53.1,0.4,371.3
T-Shirt,Quarter3,56.0,0.0,392.0
Sweatshirt,Quarter4,60.2,8.7,352.5
Sweatshirt,Quarter4,25.0,6.2,118.8
Gloves,Quarter1,25.3,9.5,208.7
Gloves,Quarter1,90.7,2.7,901.6
T-Shirt,Quarter1,28.2,3.8,161.6
Gloves,Quarter3,21.7,6.4,167.2
Gloves,Quarter1,87.2,2.2,695.4
Gloves,Quarter4,50.5,4.4,395.2
Gloves,Quarter2,52.9,9.2,457.7
Sweatshirt,Quarter3,54.0,4.8,373.2
T-Shirt,Quarter1,39.7,2.4,350.1
Sweatshirt,Quarter2,73.9,9.4,489.1
Gloves,Quarter2,72.9,4.1,570.9
T-Shirt,Quarter2,74.4,8.6,437.8
Sweatshirt,Quarter3,74.8,8.6,440.2
T-Shirt,Quarter2,29.8,8.8,199.8
Sweatshirt,Quarter2,32.6,6.4,143.8
Sweatshirt,Quarter1,44.6,6.4,216.6
Gloves,Quarter3,75.8,5.6,665.4
Sweatshirt,Quarter1,78.5,5.7,459.6
Gloves,Quarter3,52.6,2.6,576.0
Gloves,Quarter4,99.1,4.3,779.9
Gloves,Quarter3,43.5,5.9,330.3
T-Shirt,Quarter4,57.1,8.7,430.7
T-Shirt,Quarter1,36.6,9.2,192.0
Sweatshirt,Quarter1,88.5,6.7,347.3
T-Shirt,Quarter2,26.7,0.7,158.8
Gloves,Quarter1,72.3,4.3,786.7
Gloves,Quarter2,27.3,6.4,253.8
Sweatshirt,Quarter2,47.3,4.6,227.3
Gloves,Quarter4,40.8,8.5,431.8
Gloves,Quarter3,20.8,6.2,216.4
Gloves,Quarter1,14.7,3.6,128.7
T-Shirt,Quarter4,51.7,8.3,293.6
Sweatshirt,Quarter3,65.6,9.4,384.2
T-Shirt,Quarter3,97.2,7.7,665.0
Gloves,Quarter3,42.9,7.6,335.6
Gloves,Quarter3,23.4,1.1,230.7
Gloves,Quarter1,17.0,2.7,133.3
Gloves,Quarter4,41.4,8.0,348.6
T-Shirt,Quarter4,95.6,4.1,665.1
Sweatshirt,Quarter2,34.8,1.5,136.2
Sweatshirt,Quarter1,60.1,0.1,420.6
Sweatshirt,Quarter4,18.5,6.0,74.5
T-Shirt,Quarter4,26.1,6.4,176.3
Sweatshirt,Quarter3,21.4,3.3,75.7
T-Shirt,Quarter4,19.6,5.6,100.8
Gloves,Quarter1,61.8,3.1,485.1
Gloves,Quarter1,80.6,0.5,643.8
Sweatshirt,Quarter2,95.3,9.6,647.9
Sweatshirt,Quarter2,39.1,0.0,195.5
T-Shirt,Quarter1,26.4,7.5,196.2
Gloves,Quarter1,32.6,3.5,322.5
Sweatshirt,Quarter4,89.4,8.3,519.8
Gloves,Quarter3,42.3,3.3,455.4
T-Shirt,Quarter3,41.9,3.0,245.4
Gloves,Quarter4,89.0,5.6,878.8
T-Shirt,Quarter4,18.5,5.3,161.2
T-Shirt,Quarter3,29.9,3.5,175.9
Sweatshirt,Quarter2,49.3,8.0,230.5
T-Shirt,Quarter2,87.9,4.9,786.2
Gloves,Quarter2,37.9,5.2,298.0
T-Shirt,Quarter1,29.5,4.7,201.8
Gloves,Quarter3,16.7,3.6,130.0
Sweatshirt,Quarter1,31.5,1.0,187.0
Gloves,Quarter1,48.4,4.2,423.0
T-Shirt,Quarter4,82.3,8.7,467.7
Gloves,Quarter3,39.7,4.9,382.3
T-Shirt,Quarter1,19.7,4.6,133.3
Gloves,Quarter1,21.3,8.3,162.1
T-Shirt,Quarter1,35.9,9.1,278.1
Gloves,Quarter4,25.6,2.8,227.6
Gloves,Quarter1,48.0,1.2,524.4
T-Shirt,Quarter3,56.6,6.0,491.4
T-Shirt,Quarter1,67.9,1.3,541.9
T-Shirt,Quarter2,35.7,9.4,195.4
T-Shirt,Quarter4,50.7,1.0,403.6
Gloves,Quarter4,24.9,0.5,197.7
T-Shirt,Quarter3,97.1,2.5,575.1
Gloves,Quarter4,74.8,10.0,802.8
T-Shirt,Quarter1,35.2,8.1,186.9
Sweatshirt,Quarter3,56.7,1.7,225.1
Sweatshirt,Quarter3,65.3,9.4,307.7
Sweatshirt,Quarter4,74.9,0.6,373.9
Gloves,Quarter2,46.9,0.4,374.4
T-Shirt,Quarter3,33.9,3.1,231.1
Sweatshirt,Quarter3,46.8,8.2,303.0
Gloves,Quarter2,29.4,8.2,218.8
Sweatshirt,Quarter3,94.0,5.9,646.2
T-Shirt,Quarter3,76.8,5.0,532.6
Gloves,Quarter1,26.1,3.2,251.4
Gloves,Quarter4,45.4,9.4,380.4
Gloves,Quarter3,56.3,9.5,600.3
Gloves,Quarter4,52.8,7.3,558.9
Gloves,Quarter3,68.3,9.8,741.5
T-Shirt,Quarter2,40.3,1.8,240.0
Sweatshirt,Quarter2,96.2,1.5,670.4
Sweatshirt,Quarter4,29.6,3.3,108.5
Gloves,Quarter2,72.4,0.6,578.0
Sweatshirt,Quarter2,23.9,5.2,127.8
T-Shirt,Quarter4,86.9,5.7,689.5
T-Shirt,Quarter2,42.1,6.0,282.7
Gloves,Quarter2,21.4,4.2,227.0
T-Shirt,Quarter1,38.2,6.3,254.8
Sweatshirt,Quarter1,45.0,4.4,171.2
Gloves,Quarter1,59.8,9.2,469.2
Sweatshirt,Quarter1,50.5,8.8,234.9
T-Shirt,Quarter3,55.3,7.0,366.1
Gloves,Quarter1,16.7,5.8,155.4
Gloves,Quarter4,88.4,5.4,701.8
T-Shirt,Quarter2,16.6,0.8,98.8
T-Shirt,Quarter3,61.9,5.7,478.1
T-Shirt,Quarter1,22.5,6.0,151.5
Gloves,Quarter2,73.6,2.8,654.0
Gloves,Quarter3,96.1,6.7,940.9
Sweatshirt,Quarter3,19.4,7.4,70.2
Sweatshirt,Quarter2,55.3,0.5,386.6
Sweatshirt,Quarter3,45.8,3.8,221.4
T-Shirt,Quarter3,54.8,4.9,319.0
Gloves,Quarter2,56.6,3.0,557.0
T-Shirt,Quarter2,92.9,4.7,543.3
T-Shirt,Quarter1,72.8,5.0,494.6
Sweatshirt,Quarter2,51.8,8.7,336.5
Gloves,Quarter3,71.1,6.6,762.3
T-Shirt,Quarter1,21.9,8.4,150.0
Gloves,Quarter3,80.0,9.4,621.2
Sweatshirt,Quarter4,10.3,4.3,67.8
T-Shirt,Quarter1,71.5,6.9,551.3
T-Shirt,Quarter1,97.7,1.6,680.7
T-Shirt,Quarter4,47.2,1.0,280.2
Sweatshirt,Quarter1,24.8,8.1,157.4
Sweatshirt,Quarter4,18.1,6.5,107.2
Gloves,Quarter2,94.6,5.9,934.2
T-Shirt,Quarter4,59.4,5.5,518.1
Sweatshirt,Quarter3,14.0,8.4,30.8
Gloves,Quarter3,89.7,9.7,887.3
T-Shirt,Quarter4,11.3,2.0,97.7
Sweatshirt,Quarter1,33.7,4.5,188.7
Sweatshirt,Quarter1,45.6,0.8,180.8
Gloves,Quarter3,44.5,9.7,371.4
Gloves,Quarter1,10.1,8.6,92.4
Gloves,Quarter4,52.0,2.9,413.1
T-Shirt,Quarter1,63.4,5.1,560.4
Sweatshirt,Quarter3,13.2,9.1,25.5
Sweatshirt,Quarter2,91.2,2.7,359.4
T-Shirt,Quarter1,61.3,7.6,544.1
Gloves,Quarter2,63.4,3.9,558.9
Sweatshirt,Quarter3,81.4,3.8,321.8
Gloves,Quarter4,41.7,9.6,324.0
Sweatshirt,Quarter1,40.9,8.0,180.5
Gloves,Quarter3,71.8,0.9,716.2
Sweatshirt,Quarter2,72.2,3.5,350.5
Sweatshirt,Quarter1,98.4,2.2,489.8
Gloves,Quarter2,28.1,9.3,215.5
Gloves,Quarter1,72.8,6.3,781.9
Sweatshirt,Quarter2,59.1,5.1,408.6
T-Shirt,Quarter3,50.7,3.5,449.3
Gloves,Quarter3,43.1,3.9,384.0
Gloves,Quarter1,65.0,3.9,646.1
Sweatshirt,Quarter2,31.2,9.1,209.3
T-Shirt,Quarter1,39.3,0.6,353.1
Sweatshirt,Quarter1,41.4,7.5,225.9
T-Shirt,Quarter1,60.7,6.3,351.6
T-Shirt,Quarter2,74.9,0.7,522.9
Gloves,Quarter3,59.6,4.5,642.1
Sweatshirt,Quarter2,53.7,4.5,371.4
T-Shirt,Quarter1,96.5,1.2,671.9
T-Shirt,Quarter1,80.7,6.7,632.2
Gloves,Quarter3,93.0,9.0,996.0
Sweatshirt,Quarter1,11.7,3.5,51.5
Sweatshirt,Quarter2,10.9,2.9,62.5
Sweatshirt,Quarter2,22.7,2.3,108.9
Gloves,Quarter1,16.3,9.1,152.0
Gloves,Quarter2,28.3,5.4,215.6
Sweatshirt,Quarter1,64.1,8.8,238.8
Gloves,Quarter3,65.7,9.6,703.5
T-Shirt,Quarter1,90.5,9.5,805.0
Sweatshirt,Quarter2,72.2,1.4,430.4
T-Shirt,Quarter4,52.6,1.4,364.0
Sweatshirt,Quarter4,20.8,7.7,101.7
T-Shirt,Quarter2,21.5,8.9,145.3
T-Shirt,Quarter3,98.3,3.3,586.5
Gloves,Quarter1,57.6,0.3,632.7
Gloves,Quarter3,19.0,6.4,145.6
T-Shirt,Quarter3,93.0,5.9,639.2
Gloves,Quarter1,23.7,7.9,189.6
T-Shirt,Quarter1,79.9,9.1,461.2
Gloves,Quarter4,29.2,4.0,317.2
T-Shirt,Quarter4,36.7,7.2,249.7
Sweatshirt,Quarter1,39.5,6.6,217.2
Sweatshirt,Quarter1,85.9,4.4,592.5
Gloves,Quarter2,67.6,8.8,582.0
T-Shirt,Quarter3,87.9,3.5,696.2
T-Shirt,Quarter3,61.7,2.1,553.2
T-Shirt,Quarter3,78.5,9.7,618.3
T-Shirt,Quarter2,64.5,4.9,501.3
Sweatshirt,Quarter4,63.1,7.9,418.0
Gloves,Quarter4,21.6,9.7,153.4
T-Shirt,Quarter3,49.9,6.6,429.3
Gloves,Quarter4,30.8,7.5,285.5
Gloves,Quarter4,26.0,4.4,199.2
Gloves,Quarter3,98.9,9.0,782.2
T-Shirt,Quarter4,64.0,4.6,498.2
Gloves,Quarter4,93.6,8.4,1012.8
Gloves,Quarter3,74.2,2.4,739.6
Gloves,Quarter2,94.4,1.5,939.5
Sweatshirt,Quarter4,61.4,5.8,234.0
Sweatshirt,Quarter4,98.8,6.7,487.3
Sweatshirt,Quarter4,16.5,8.0,107.5
Sweatshirt,Quarter4,27.6,9.6,100.8
Gloves,Quarter4,79.8,2.8,715.4
Sweatshirt,Quarter4,79.3,2.1,310.9
Gloves,Quarter2,17.9,3.6,186.1
T-Shirt,Quarter2,48.7,3.3,331.0
Gloves,Quarter3,29.9,0.3,268.8
Sweatshirt,Quarter1,63.2,3.7,375.5
Gloves,Quarter1,27.8,2.9,216.6
Sweatshirt,Quarter1,62.7,2.1,372.0
Sweatshirt,Quarter2,53.8,7.3,308.2
Sweatshirt,Quarter1,79.2,8.8,369.6
Gloves,Quarter4,97.2,9.2,759.2
T-Shirt,Quarter4,84.9,7.8,671.4
T-Shirt,Quarter3,33.8,2.2,297.6
Sweatshirt,Quarter2,63.4,0.5,253.1
T-Shirt,Quarter3,52.2,3.4,407.4
Gloves,Quarter2,42.4,7.8,323.6
Sweatshirt,Quarter3,21.5,4.4,124.6
T-Shirt,Quarter4,75.1,7.9,434.8
Sweatshirt,Quarter2,30.9,6.2,173.0
Sweatshirt,Quarter2,70.6,9.0,405.6
Gloves,Quarter2,51.4,7.0,507.0
T-Shirt,Quarter2,23.5,7.7,156.8
T-Shirt,Quarter2,70.1,6.2,548.4
Gloves,Quarter1,54.2,9.7,567.1
Gloves,Quarter3,36.4,4.9,286.3
T-Shirt,Quarter1,61.0,0.9,426.1
T-Shirt,Quarter3,48.0,7.5,313.5
Gloves,Quarter2,62.9,0.7,689.8
Sweatshirt,Quarter3,40.8,7.6,262.8
Gloves,Quarter2,54.2,8.5,579.2
Sweatshirt,Quarter2,54.9,2.4,214.8
T-Shirt,Quarter2,85.8,3.9,678.6
T-Shirt,Quarter2,87.4,5.2,606.6
Sweatshirt,Quarter2,90.2,0.8,450.2
T-Shirt,Quarter1,37.3,3.3,251.2
Gloves,Quarter3,23.3,7.8,248.5
Sweatshirt,Quarter1,34.2,2.6,236.8
Sweatshirt,Quarter2,82.3,8.8,467.4
Sweatshirt,Quarter2,87.0,7.1,333.8
T-Shirt,Quarter1,48.4,9.6,377.6
Sweatshirt,Quarter3,78.6,6.8,464.8
Gloves,Quarter3,48.1,2.3,382.5
T-Shirt,Quarter3,13.6,6.3,102.5
Sweatshirt,Quarter3,41.2,7.0,199.0
T-Shirt,Quarter4,37.7,8.9,199.5
Gloves,Quarter4,39.7,0.2,356.7
T-Shirt,Quarter4,60.2,1.8,355.8
T-Shirt,Quarter2,89.3,3.1,794.4
Gloves,Quarter2,11.3,0.3,112.4
Gloves,Quarter2,70.2,1.3,630.5
T-Shirt,Quarter4,82.2,4.9,730.0
Gloves,Quarter4,70.5,6.4,615.3
Sweatshirt,Quarter4,78.3,2.2,387.1
Gloves,Quarter3,22.7,2.6,241.9
T-Shirt,Quarter4,28.4,3.5,223.7
T-Shirt,Quarter3,61.6,3.8,546.8
Sweatshirt,Quarter4,65.5,7.6,239.2
T-Shirt,Quarter4,39.7,9.5,289.1
Gloves,Quarter2,11.7,7.0,72.6
T-Shirt,Quarter4,16.4,2.4,93.6
